ARS.ID,Order,Feedstock,HHT,ID,TH,TC,H_Corg,Corg,TN,CCE,pH,EC,VM,FC,Ash,AvP.ppm,AvCa.ppm,AvK.ppm,AvMg.ppm,AvNa.ppm,AvS.ppm,AvP2O5.percent,AvCaO.percent,AvK2O.percent,AvMgO.percent,AvNa.percent,AvS.percent,TP.ppm,TCa.ppm,TK.ppm,TMg.ppm,TNa.ppm,TS.ppm,TP2O5.percent,TCaO.percent,TK2O.percent,TMgO.percent,TNa.percent,TS.percent,Pav_TP,Kav_TK,Sav_TS,Mgav_TMg,Caav_TCa,PSabove50,PS50,PS25,PS16,PS8,PS4,PS2,PS1,PS0.5,PS.mean,Texture.class,Texture.code,Subtexture.class,Subtexture.code,sBC100,CClass,FertClass,LimeClass,T_ha_P,T_ha_K,T_ha_S,T_ha_Mg,T_ha_Ca
2569,11,Straw,Gasified,Gasified Straw AgEnergy,1.32,60.08,0.265,600.8,0.635,9,10.9,5.35,15.6,33.1,51.3,2261,3157,30935,965,3753,521,5.2,4.4,37.1,1.6,3.8,0.5,1240,5795,53700,27497.97391,4645.173275,1630,2.8,8.1,64.5,45.7,1.6,4.6,1.82,0.54,0.58,0.04,0.81,0,0,0,0,0.5,2.3,6.7,20.1,70.4,0.5,Powder,Pd,Fine powder,F-Pd,544,4,2,1,20,1,33,21,2
2570,4,Conifer Wood,1250,Conifer Wood BioLogical Carbon,1.19,82.625,0.173,826.25,0.395,0.9,8.3,0.2,8.7,85.9,5.4,2239,6017,2740,809,171,28,5.1,8.4,3.3,1.3,0.2,0,471,7530,1275,1153.530165,1417.517423,55.05,1.1,10.5,1.5,1.9,0.1,1.4,4.75,0.8,2.15,0.7,0.12,0,0,0,0,2.6,49.7,43.4,4.3,0,2.3,Kernel,Kn,Kernel,Kn,804,5,1,0,20,16,607,25,1
3185,15,Polutry Litter Pellets,350,Poultry Litter Pellets 350 C,3.27,45.59,0.861,455.9,4.44,11.6,9.5,3.19,34.2,33.7,32.1,16328,22767,41964,3455,17633,4900,37.4,31.8,50.4,5.7,17.6,4.9,28500,39150,53150,12071.38357,16763.99968,9695,65.4,54.8,63.8,20.1,9.7,16.8,0.57,0.58,0.79,0.29,1.05,0,0,0,0,85.6,4.3,2.7,2.2,5.2,5.3,Kernel,Kn,Kernel,Kn,211,1,4,2,3,1,3,6,0
3186,16,Polutry Litter Pellets,500,Poultry Litter Pellets 500 C,1.85,44.03,0.505,440.3,3.925,15.1,9.7,4.91,15.5,39.5,45,20514,27700,40801,3453,20233,5383,47.1,38.7,49,5.7,20.2,5.4,56900,67100,89600,20968.44036,31204.27664,15800,130.5,93.8,107.6,34.8,15.8,31.2,0.36,0.41,0.46,0.16,0.65,0,0,0,0,83.5,14.9,0.3,0.6,0.7,5.5,Kernel,Kn,Kernel,Kn,320,2,4,2,2,1,3,6,0
3187,17,Polutry Litter Pellets,700,Poultry Litter Pellets 700 C,1.08,43.04,0.302,430.4,3.15,17.4,10.1,8.3,9.4,40.1,50.4,15976,31900,44420,3427,22200,2390,36.6,44.6,53.3,5.7,22.2,2.4,41000,55750,80350,72695.01863,25923.47038,13250,94,78,96.5,120.8,13.3,25.9,0.39,0.57,0.55,0.05,0.86,0,0,0,0,79.3,18.5,0.7,0.6,1,5.3,Kernel,Kn,Kernel,Kn,378,2,4,2,3,1,7,6,0
3188,18,Yard Debris,350,Yard Debris 350 C,4.26,63.07,0.811,630.7,0.895,2.6,7.6,0.07,34.5,42.7,22.9,2155,12867,4080,529,68,85,4.9,18,4.9,0.9,0.1,0.1,863,21650,3300,86.19862049,1161.861364,345,2,30.3,4,0.1,0.3,1.2,2.5,0.59,1.24,6.14,0.06,0,0,0,0,0.1,2.8,25.8,33.5,37.8,0.8,Powder,Pd,Blended powder,B-Pd,315,2,1,1,21,11,200,38,1
3189,19,Yard Debris,500,Yard Debris 500 C,2.56,65.3,0.47,653,0.935,6.9,9.4,0.1,13.9,50,36.1,2079,16300,4321,446,77,53,4.8,22.8,5.2,0.7,0.1,0.1,1010,34400,3795,545.8947905,1112.620573,257.5,2.3,48.1,4.6,0.9,0.3,1.1,2.06,0.47,1.14,0.82,0.07,0,0,0,0,0.1,1,15.3,27.3,56.4,0.6,Powder,Pd,Fine powder,F-Pd,492,3,1,1,22,10,321,45,0
3190,20,Yard Debris,700,Yard Debris 700 C,1.11,66.435,0.2,664.35,0.815,9.2,11.6,0.66,7.1,63.3,29.5,2058,18867,4769,523,121,26,4.7,26.4,5.7,0.9,0.1,0,1740,36600,4595,1236.199096,1228.253442,429.5,4,51.2,5.5,2.1,0.4,1.2,1.18,0.52,1.04,0.42,0.1,0,0,0,0,0.1,1.5,13.4,27.8,57.2,0.6,Powder,Pd,Fine powder,F-Pd,633,5,1,1,22,9,654,38,0
3191,6,Ponderosa Pine,Gasified,Gasified Ponderosa Pine,1.21,77.65,0.188,776.5,0.325,5.2,9.6,0.11,10.1,82.8,7.1,1881,2813,1801,356,109,1,4.3,3.9,2.2,0.6,0.1,0,NA,6655,479.5,NA,1466.158388,10.965,0,9.3,0.6,0,0,1.5,NA,0.42,3.76,NA,0.07,0,0,0,0,0,5,34.8,44.2,15.9,1,Powder,Pd,Blended powder,B-Pd,747,5,1,1,24,25,17000,56,2
3192,7,Juniper,Gasified,Gasified Juniper,1.75,82.255,0.256,822.55,0.43,7.9,9.1,0.14,16.1,79.7,4.1,1931,7823,4076,294,116,11,4.4,10.9,4.9,0.5,0.1,0,NA,16350,NA,NA,1259.54087,64.7,0,22.9,0,0,0.1,1.3,NA,0.48,NA,NA,0.09,0,0,0,0,0,2,7.3,17,73.8,0.5,Powder,Pd,Fine powder,F-Pd,750,5,0,1,23,11,1545,68,1
3194,1,Douglas fir,300,Douglas fir 300 C,4.95,69.845,0.85,698.45,0.38,0,5.9,0.03,45.2,53.5,1.3,1821,586,440,79,9,11,4.2,0.8,0.5,0.1,0,0,NA,200.5,578.5,NA,1321.466932,NA,0,0.3,0.7,0,0,1.3,NA,2.92,0.76,NA,0.01,0,0,0,0,2.4,11.6,17.2,26.1,42.6,1.1,Powder,Pd,Blended powder,B-Pd,328,2,0,0,25,102,1545,253,12
3195,2,Douglas fir,500,Douglas fir 500 C,2.77,80.605,0.413,806.05,0.465,0,6.6,0.03,22.3,76.9,0.8,1829,1107,777,54,33,21,4.2,1.5,0.9,0.1,0,0,NA,894,762.5,NA,1321.466932,NA,0,1.3,0.9,0,0,1.3,NA,1.24,1.02,NA,0.02,0,0,0,0,1.6,5.7,12.4,22.3,58,0.8,Powder,Pd,Fine powder,F-Pd,641,5,1,0,25,58,810,370,6
3196,3,Douglas fir,700,Douglas fir 700 C,1.32,90.385,0.176,903.85,0.435,4.4,7.6,0.07,12.8,84.1,3.1,1876,1153,684,173,21,24,4.3,1.6,0.8,0.3,0,0,NA,1075,831,NA,1304.739502,70.85,0,1.5,1,0,0.1,1.3,NA,1.07,0.82,NA,0.02,0,0,0,0,1.3,8.5,17.8,24.2,48.2,0.9,Powder,Pd,Blended powder,B-Pd,878,5,0,1,24,66,708,116,6
3197,12,Hazelnut shells,300,Hazelnut shells 300 C,4.74,72.475,0.784,724.75,0.395,0.5,7.8,0.07,38.4,59.1,2.6,1887,1433,3641,281,47,29,4.3,2,4.4,0.5,0,0,NA,1370,4100,NA,1276.860453,NA,0,1.9,4.9,0,0,1.3,NA,1.05,0.89,NA,0.04,0,0,0,0,0,0.2,35.9,50.9,13,1,Powder,Pd,Medium powder,M-Pd,376,2,1,0,24,12,586,71,5
3198,13,Hazelnut shells,500,Hazelnut shells 500 C,2.82,84.245,0.401,842.45,0.49,3.1,10.2,0.3,19.4,78,2.6,1964,2363,6325,460,57,85,4.5,3.3,7.6,0.8,0.1,0.1,NA,2325,5750,NA,1332.618552,NA,0,3.3,6.9,0,0,1.3,NA,1.02,1.1,NA,0.04,0,0,0,0,0,0,16.1,61.1,22.9,0.8,Powder,Pd,Medium powder,M-Pd,677,5,2,1,23,7,200,43,3
3199,14,Hazelnut shells,700,Hazelnut shells 700 C,1.02,91.36,0.134,913.6,0.6,5.3,10.3,0.86,9.7,86.9,3.5,1941,2787,7174,537,70,8,4.5,3.9,8.6,0.9,0.1,0,NA,2570,6430,NA,1282.436263,NA,0,3.6,7.7,0,0,1.3,NA,1.08,1.12,NA,0.05,0,0,0,0,0,0,9.7,74.5,15.8,0.7,Powder,Pd,Medium powder,M-Pd,915,5,2,1,23,6,2125,37,3
3200,8,Oregon White Oak,300,Oregon White Oak 300 C,3.88,62.3,0.747,623,0.335,0,4.9,0.09,48.4,47.4,4.1,1816,14367,1676,62,99,24,4.2,20.1,2,0.1,0.1,0,NA,25100,1130.5,NA,1104.202113,NA,0,35.1,1.4,0,0,1.1,NA,0.57,1.48,NA,0.09,0,0,0,0,0.3,1.4,9.3,30.8,58.2,0.6,Powder,Pd,Fine powder,F-Pd,341,2,0,0,25,27,708,323,0
3201,9,Oregon White Oak,500,Oregon White Oak 500 C,2.62,75.905,0.414,759.05,0.425,10.8,9,0.12,22.5,70.6,6.9,1808,25500,3059,59,144,36,4.1,35.7,3.7,0.1,0.1,0,NA,35400,1115,NA,1134.197998,73.75,0,49.5,1.3,0,0.1,1.1,NA,0.72,2.74,NA,0.13,0,0,0,0,0.5,1.1,5.3,28.2,64.8,0.5,Powder,Pd,Fine powder,F-Pd,603,5,0,2,25,15,472,339,0
3202,10,Oregon White Oak,700,Oregon White Oak 700 C,1.25,83.25,0.18,832.5,0.42,13.9,10,0.26,9.5,82.9,7.6,1849,29267,3507,156,178,12,4.2,40.9,4.2,0.3,0.2,0,NA,40850,1410,NA,1183.992057,249,0,57.1,1.7,0,0.2,1.2,NA,0.72,2.49,NA,0.15,0,0,0,0,0,0.7,5.5,28.1,65.6,0.5,Powder,Pd,Fine powder,F-Pd,806,5,0,2,24,13,1417,128,0
3203,21,Spent Brewer's Grain,300,Spent Brewers Grain 300 C,6.37,66.745,1.145,667.45,6.37,1.3,7,0.03,47.7,47.1,5.2,2499,653,660,573,64,17,5.7,0.9,0.8,1,0.1,0,8220,3335,352,1935.892255,1621.073237,1285,18.9,4.7,0.4,3.2,1.3,1.6,0.3,0.2,1.88,0.3,0.04,0,0,0,0,1.4,26.8,44.1,17.8,10,1.7,Powder,Pd,Blended powder,B-Pd,168,1,0,1,18,68,1000,35,11
3204,22,Spent Brewer's Grain,500,Spent Brewers Grain 500 C,2.58,73.585,0.42,735.85,2.58,2.8,7.1,0.08,20,71.3,8.7,3387,882,1247,719,82,10,7.8,1.2,1.5,1.2,0.1,0,13500,5065,2255,4162.391892,1632.138583,563,31,7.1,2.7,6.9,0.6,1.6,0.25,0.17,0.55,0.17,0.05,0,0,0,0,2.2,13.4,37.6,26,20.8,1.3,Powder,Pd,Blended powder,B-Pd,581,4,1,1,13,36,1700,28,8
3205,23,Spent Brewer's Grain,700,Spent Brewers Grain 700 C,1.3,69.155,0.226,691.55,1.3,1.4,7,0.07,10.1,80.7,9.2,3662,929,1098,833,94,3,8.4,1.3,1.3,1.4,0.1,0,14500,5220,2315,4681.014297,1598.942544,477.5,33.3,7.3,2.8,7.8,0.5,1.6,0.25,0.18,0.47,0.18,0.06,0,0,0,0,1.7,11.8,40.7,26.2,19.6,1.3,Powder,Pd,Blended powder,B-Pd,646,5,1,1,12,41,5667,24,8
3206,5,Pine,427,Pine Karrbonizer,3.65,80.325,0.545,803.25,3.65,0,8.6,0.32,31,40.8,1.1,1964,863,1749,64,1207,6,4.5,1.2,2.1,0.1,1.2,0,440,2170,843,NA,2246.265304,26.7,1,3,1,0,0,2.2,4.46,0.4,2.07,NA,0.54,0,0,0,0,0.3,6.9,27.9,29.2,35.7,1,Powder,Pd,Blended powder,B-Pd,560,4,1,0,23,26,2833,312,8
