Crop	Crop2	pH.min	pH.max	N.min	N.max	Plow.cutoff	Pmed.cutoff	Phigh.cutoff	Pvhigh.cutoff	Plow.test	Pmed.test	Phigh.test	Pvhigh.test	Pabove.test	Plow.rate	Pmed.rate	Phigh.rate	Pvhigh.rate	Pabove.rate	Klow.cutoff	Kmed.cutoff	Khigh.cutoff	Kvhigh.cutoff	Klow.test	Kmed.test	Khigh.test	Kvhigh.test	Kabove.test	Klow.rate	Kmed.rate	Khigh.rate	Kvhigh.rate	Kabove.rate	Slow.cutoff	Smed.cutoff	Shigh.cutoff	Slow.test	Smed.test	Shigh.test	Svhigh.test	Slow.rate	Smed.rate	Shigh.rate	Svhigh.rate	S.singlerate	Mg.cutoff	Mg.rate	Reference
"Alfalfa, irrigated"	Alfalfa irrigated	6	8.2	0	0	5	10	15	20	0-5	6-10	11-15	16-20	>20	150-200	100-150	50-100	0-50	0	50	100	150	200	0-50	51-100	101-150	151-200	>200	200-300	100-200	50-100	0-50	0	5	10	15	0-5	5-10	10-15	15	25-35	15-25	10-15	0				"Nutrient Management Guide for Dryland and Irrigated Alfalfa in the Inland Northwest (2009) R.T. Koenig et al., PNW Extension Publication, PNW 611. (https://catalog.extension.oregonstate.edu/pnw611)"
"Alfalfa, dryland"	Alfalfa dryland	6	8.2	0	0	5	10	15	20	0-5	6-10	11-15	16-20	>20	50-75	25-50	0-25	0	0	50	100	150	200	0-50	51-100	101-150	151-200	>200	50-100	0-50	0	0	0	5	10	15	0-5	5-10	10-15	15	10-20	0-10	0	0				"Nutrient Management Guide for Dryland and Irrigated Alfalfa in the Inland Northwest (2009) R.T. Koenig et al., PNW Extension Publication, PNW 611. (https://catalog.extension.oregonstate.edu/pnw611)"
Asparagus	Asparagus	6	7.5	140	280	3	6	8	10	0-3	4-6	7-8	8-10	>10	300	200	160	100	0	30	60	120		0-30	31-60	>120			190-240	140-190	100-140																	http://horticulture.oregonstate.edu/content/asparagus-0
"Blackberries, established"	Blackberries established	5.6	6.5	50	80	20	40			0-20	21-40	>40			60-80	0-60	0			150	350			0-150	151-350	>350			60-100	40-60	0														0-40			"Caneberries Nutrient Management Guide (2006) Hart et al., Oregon State University Extension Service, Nutrient Management Guide EM 8903 (https://catalog.extension.oregonstate.edu/em8903)"
"Blueberries, mature"	Blueberries mature	4.5	5.5	145	165	25	50			0-25	26-50	>50			40-60	0-40	0			100	150			0-100	101-150	>150			75-100	0-75	0																	"Nutrient Management for Blueberries in Oregon (2006) Hart et al., Oregon State University Extension Service, Nutrient Management Guide EM 8918"
Broccoli	Broccoli	6.3	7	80	100	30	50			0-30	31-50	>50			150-200	100-150	80-100			150	200	250		0-150	151-200	201-250	>250		150-200	90-150	60-90	0													25-40	2	15-20	http://horticulture.oregonstate.edu/content/broccoli-1
Brussel Sprouts	Brussel Sprouts	6.3	7	80	100	30	50			0-30	31-50	>50			150-200	100-150	80-100			150	200	250		0-150	151-200	201-250	>250		150-200	90-150	60-90	0													25-40	2	15-20	http://horticulture.oregonstate.edu/content/brussels-sprouts-0
Cabbage	Cabbage	6.3	7	80	100	30	50			0-30	31-50	>50			150-200	100-150	80-100			150	200	250		0-150	151-200	201-250	>250		150-200	90-150	60-90	0													25-40	2	15-20	http://horticulture.oregonstate.edu/content/cabbage-1
Carrots	Carrots	5.6	7.5	75	120	20	50	75		0-20	21-50	51-75	>75		120-150	90-120	60-90	0		75	150	225		0-75	76-150	151-225	>225		120-180	90-120	60-90	0													15-20	1	10-15	http://horticulture.oregonstate.edu/content/carrots-eastern-oregon-0
Cauliflower	Cauliflower	6.3	7	80	100	30	50			0-30	31-50	>50			150-200	100-150	80-100			150	200	250		0-150	151-200	201-250	>250		150-200	90-150	60-90	0													25-40	2	15-20	http://horticulture.oregonstate.edu/content/cauliflower-0
Crimson clover	Crimson clover	5.6		0	0	15	30			0-15	16-30	>30			60-80	40-60	0			75	150			0-75	76-150	>150			80-100	60-80	0														15-20			"Crimson Clover, Vetch, Field Peas: Western Oregon—West of Cascades Fertilizer Guide (2000) E.H. Gardner et al., Oregon State Univ. Extension Service Fertilizer Guide, FG 30"
